DATE	DEXUSEU
16-09-2013	1.335
17-09-2013	1.3357
18-09-2013	1.3351
19-09-2013	1.3527
20-09-2013	1.3522
23-09-2013	1.352
24-09-2013	1.349
25-09-2013	1.3536
26-09-2013	1.3484
27-09-2013	1.3537
30-09-2013	1.3535
01-10-2013	1.3534
02-10-2013	1.3592
03-10-2013	1.3642
04-10-2013	1.3582
07-10-2013	1.3569
08-10-2013	1.3582
09-10-2013	1.3513
10-10-2013	1.3535
11-10-2013	1.3559
14-10-2013	.
15-10-2013	1.3494
16-10-2013	1.349
17-10-2013	1.3664
18-10-2013	1.3693
21-10-2013	1.3672
22-10-2013	1.3778
23-10-2013	1.3786
24-10-2013	1.381
25-10-2013	1.3794
28-10-2013	1.3786
29-10-2013	1.377
30-10-2013	1.3771
31-10-2013	1.3594
01-11-2013	1.3488
04-11-2013	1.3516
05-11-2013	1.347
06-11-2013	1.353
07-11-2013	1.339
08-11-2013	1.3357
11-11-2013	.
12-11-2013	1.3428
13-11-2013	1.3456
14-11-2013	1.3468
15-11-2013	1.348
18-11-2013	1.352
19-11-2013	1.3529
20-11-2013	1.3451
21-11-2013	1.347
22-11-2013	1.3547
25-11-2013	1.3502
26-11-2013	1.3555
27-11-2013	1.3563
28-11-2013	.
29-11-2013	1.3606
02-12-2013	1.3552
03-12-2013	1.3604
04-12-2013	1.3555
05-12-2013	1.3664
06-12-2013	1.369
09-12-2013	1.3726
10-12-2013	1.3765
11-12-2013	1.3798
12-12-2013	1.3752
13-12-2013	1.3724
16-12-2013	1.3757
17-12-2013	1.3748
18-12-2013	1.3766
19-12-2013	1.3666
20-12-2013	1.3673
23-12-2013	1.3701
24-12-2013	1.3676
25-12-2013	.
26-12-2013	1.369
27-12-2013	1.3766
30-12-2013	1.3816
31-12-2013	1.3779
01-01-2014	.
02-01-2014	1.367
03-01-2014	1.3606
06-01-2014	1.3636
07-01-2014	1.3618
08-01-2014	1.3586
09-01-2014	1.3591
10-01-2014	1.3664
13-01-2014	1.3647
14-01-2014	1.3682
15-01-2014	1.3604
16-01-2014	1.36
17-01-2014	1.3554
20-01-2014	.
21-01-2014	1.356
22-01-2014	1.3546
23-01-2014	1.368
24-01-2014	1.368
27-01-2014	1.3679
28-01-2014	1.3662
29-01-2014	1.3663
30-01-2014	1.3549
31-01-2014	1.35
03-02-2014	1.3523
04-02-2014	1.3507
05-02-2014	1.3519
06-02-2014	1.3604
07-02-2014	1.3614
10-02-2014	1.3644
11-02-2014	1.3654
12-02-2014	1.3592
13-02-2014	1.3669
14-02-2014	1.369
17-02-2014	.
18-02-2014	1.3758
19-02-2014	1.3762
20-02-2014	1.369
21-02-2014	1.3722
24-02-2014	1.3744
25-02-2014	1.3749
26-02-2014	1.3668
27-02-2014	1.3724
28-02-2014	1.3806
03-03-2014	1.3763
04-03-2014	1.3731
05-03-2014	1.3734
06-03-2014	1.3848
07-03-2014	1.3868
10-03-2014	1.388
11-03-2014	1.3867
12-03-2014	1.3904
13-03-2014	1.3927
14-03-2014	1.3924
17-03-2014	1.3927
18-03-2014	1.3913
19-03-2014	1.391
20-03-2014	1.3784
21-03-2014	1.3783
24-03-2014	1.3784
25-03-2014	1.3777
26-03-2014	1.3786
27-03-2014	1.3752
28-03-2014	1.3753
31-03-2014	1.3777
01-04-2014	1.3804
02-04-2014	1.3761
03-04-2014	1.3708
04-04-2014	1.3704
07-04-2014	1.3745
08-04-2014	1.3802
09-04-2014	1.3816
10-04-2014	1.3892
11-04-2014	1.3898
14-04-2014	1.3824
15-04-2014	1.3806
16-04-2014	1.382
17-04-2014	1.3832
18-04-2014	1.3816
21-04-2014	1.379
22-04-2014	1.3804
23-04-2014	1.3814
24-04-2014	1.3828
25-04-2014	1.3838
28-04-2014	1.3844
29-04-2014	1.3808
30-04-2014	1.387
01-05-2014	1.3867
02-05-2014	1.3864
05-05-2014	1.3884
06-05-2014	1.3924
07-05-2014	1.3917
08-05-2014	1.3864
09-05-2014	1.3763
12-05-2014	1.376
13-05-2014	1.3711
14-05-2014	1.3718
15-05-2014	1.3712
16-05-2014	1.3708
19-05-2014	1.3716
20-05-2014	1.3702
21-05-2014	1.3657
22-05-2014	1.3652
23-05-2014	1.3628
26-05-2014	.
27-05-2014	1.3618
28-05-2014	1.3596
29-05-2014	1.3608
30-05-2014	1.364
02-06-2014	1.3606
03-06-2014	1.3624
04-06-2014	1.3619
05-06-2014	1.3618
06-06-2014	1.3639
09-06-2014	1.3589
10-06-2014	1.3543
11-06-2014	1.3532
12-06-2014	1.3556
13-06-2014	1.3522
16-06-2014	1.3578
17-06-2014	1.3543
18-06-2014	1.3567
19-06-2014	1.362
20-06-2014	1.3586
23-06-2014	1.3593
24-06-2014	1.3588
25-06-2014	1.3638
26-06-2014	1.361
27-06-2014	1.3631
30-06-2014	1.369
01-07-2014	1.3681
02-07-2014	1.3656
03-07-2014	1.361
04-07-2014	.
07-07-2014	1.3604
08-07-2014	1.3614
09-07-2014	1.363
10-07-2014	1.36
11-07-2014	1.3598
14-07-2014	1.362
15-07-2014	1.3573
16-07-2014	1.353
17-07-2014	1.353
18-07-2014	1.3515
21-07-2014	1.3524
22-07-2014	1.347
23-07-2014	1.3462
24-07-2014	1.3468
25-07-2014	1.3431
28-07-2014	1.344
29-07-2014	1.341
30-07-2014	1.3378
31-07-2014	1.339
01-08-2014	1.3436
04-08-2014	1.3414
05-08-2014	1.3366
